rgb_conv.0.weight	[8, 5, 1, 1]
feature_extractor.backbone.conv15.linear_conv.conv.weight	[160, 960, 1, 1]
feature_extractor.backbone.conv15.linear_conv.bn.weight	[160]
feature_extractor.backbone.conv15.linear_conv.bn.bias	[160]
feature_extractor.backbone.conv15.linear_conv.bn._mean	[160]
feature_extractor.backbone.conv15.linear_conv.bn._variance	[160]
feature_extractor.backbone.conv16.expand_conv.conv.weight	[960, 160, 1, 1]
feature_extractor.backbone.conv16.expand_conv.bn.weight	[960]
feature_extractor.backbone.conv16.expand_conv.bn.bias	[960]
feature_extractor.backbone.conv16.expand_conv.bn._mean	[960]
feature_extractor.backbone.conv16.expand_conv.bn._variance	[960]
feature_extractor.backbone.conv16.bottleneck_conv.conv.weight	[960, 1, 5, 5]
feature_extractor.backbone.conv16.bottleneck_conv.bn.weight	[960]
feature_extractor.backbone.conv16.bottleneck_conv.bn.bias	[960]
feature_extractor.backbone.conv16.bottleneck_conv.bn._mean	[960]
feature_extractor.backbone.conv16.bottleneck_conv.bn._variance	[960]
feature_extractor.backbone.conv16.mid_se.conv1.weight	[240, 960, 1, 1]
feature_extractor.backbone.conv16.mid_se.conv1.bias	[240]
feature_extractor.backbone.conv16.mid_se.conv2.weight	[960, 240, 1, 1]
feature_extractor.backbone.conv16.mid_se.conv2.bias	[960]
feature_extractor.backbone.conv16.linear_conv.conv.weight	[160, 960, 1, 1]
feature_extractor.backbone.conv16.linear_conv.bn.weight	[160]
feature_extractor.backbone.conv16.linear_conv.bn.bias	[160]
feature_extractor.backbone.conv16.linear_conv.bn._mean	[160]
feature_extractor.backbone.conv16.linear_conv.bn._variance	[160]
feature_extractor.head.block.0.body.0.weight	[288, 1, 3, 3]
feature_extractor.head.block.0.body.1.weight	[256, 288, 1, 1]
feature_extractor.head.block.0.body.2.weight	[256]
feature_extractor.head.block.0.body.2.bias	[256]
feature_extractor.head.block.0.body.2._mean	[256]
feature_extractor.head.block.0.body.2._variance	[256]
feature_extractor.head.block.1.body.0.weight	[256, 1, 3, 3]
feature_extractor.head.block.1.body.1.weight	[256, 256, 1, 1]
feature_extractor.head.block.1.body.2.weight	[256]
feature_extractor.head.block.1.body.2.bias	[256]
feature_extractor.head.block.1.body.2._mean	[256]
feature_extractor.head.block.1.body.2._variance	[256]
feature_extractor.head.block.2.weight	[256, 256, 1, 1]
feature_extractor.head.block.2.bias	[256]
feature_extractor.skip_project.skip_project.0.weight	[32, 24, 1, 1]
feature_extractor.skip_project.skip_project.1.weight	[32]
feature_extractor.skip_project.skip_project.1.bias	[32]
feature_extractor.skip_project.skip_project.1._mean	[32]
feature_extractor.skip_project.skip_project.1._variance	[32]
